"OrphaCode","Name","DisorderGroup","gene_count","onset_count","inheritance_count","avg_prevalence"
158,Systemic primary carnitine deficiency,Disorder,1,1,1,32.233842857142854
159,Carnitine-acylcarnitine translocase deficiency,Disorder,1,1,1,30.0
160,Castleman disease,Disorder,0,1,1,0.0
162,Congenital cataract-anterior segment dysgenesis syndrome,Disorder,1,1,1,1.5
163,Hereditary hyperferritinemia-cataract syndrome,Disorder,1,1,1,60.0
164,NON RARE IN EUROPE: Cerebral cavernous malformations,Disorder,0,0,0,
165,Neutral lipid storage disease,Group of disorders,0,1,1,25.0
166,Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy,Group of disorders,0,1,1,20.163636363636364
167,Chédiak-Higashi syndrome,Disorder,1,1,1,250.0
168,Loose anagen syndrome,Disorder,0,1,1,0.0
169,Ringed hair disease,Disorder,0,1,1,0.0
170,Woolly hair,Disorder,5,1,1,0.0
171,Primary sclerosing cholangitis,Disorder,4,1,1,4.005
172,Progressive familial intrahepatic cholestasis,Disorder,0,1,1,0.0
173,Cholera,Disorder,0,1,1,0.0
174,"Metaphyseal chondrodysplasia, Schmid type",Disorder,1,1,1,0.0
175,Cartilage-hair hypoplasia,Disorder,1,1,1,51.446666666666665
176,Non-rhizomelic chondrodysplasia punctata,Group of disorders,0,1,1,0.0
177,Rhizomelic chondrodysplasia punctata,Disorder,0,1,1,0.39999999999999997
178,Chordoma,Disorder,3,1,1,0.06
179,Birdshot chorioretinopathy,Disorder,1,1,1,0.245
180,Choroideremia,Disorder,1,1,1,2.0
181,X-linked hypohidrotic ectodermal dysplasia,Subtype of disorder,2,1,1,4.483333333333333
182,Chromomycosis,Disorder,0,1,1,0.0
183,Eosinophilic granulomatosis with polyangiitis,Disorder,0,1,1,0.7702105263157895
184,Cherubism,Disorder,1,1,1,150.0
185,Scimitar syndrome,Disorder,0,1,1,1.0
186,Primary biliary cholangitis,Disorder,8,1,1,11.343571428571428
187,Citrullinemia,Group of disorders,0,1,1,0.0
188,Systemic capillary leak syndrome,Disorder,0,1,1,75.0
189,Hidrotic ectodermal dysplasia,Disorder,1,1,1,1.0
190,Coats disease,Disorder,1,1,1,0.045
191,Cockayne syndrome,Disorder,0,1,1,0.25
192,Coffin-Lowry syndrome,Disorder,1,1,1,1.5
193,Cohen syndrome,Disorder,1,1,1,100.0
194,OBSOLETE: Ocular coloboma,Group of disorders,0,0,0,
195,Cat-eye syndrome,Disorder,0,1,1,0.675
198,Occipital horn syndrome,Disorder,1,1,1,17.5
199,Cornelia de Lange syndrome,Disorder,6,1,1,0.7966666666666666
200,Isolated corpus callosum agenesis,Disorder,0,1,1,1.1425
201,Cowden syndrome,Subtype of disorder,9,1,1,0.22499999999999998
202,Crandall syndrome,Disorder,0,0,0,
204,Sporadic Creutzfeldt-Jakob disease,Disorder,0,1,1,0.10023
205,Crigler-Najjar syndrome,Disorder,0,1,1,0.55
206,NON RARE IN EUROPE: Crohn disease,Disorder,0,0,0,
207,Crouzon syndrome,Disorder,2,1,1,1.2875
209,Cutis laxa,Group of disorders,0,1,1,0.05
210,Cyclosporiasis,Disorder,0,1,1,0.0
211,Familial cylindromatosis,Subtype of disorder,1,1,1,
212,Cystathioninuria,Disorder,1,1,1,4.733333333333333
213,Cystinosis,Disorder,0,1,1,0.9120000000000001
214,Cystinuria,Disorder,0,1,1,17.155555555555555
215,Congenital stationary night blindness,Group of disorders,1,1,1,0.0
216,Neuronal ceroid lipofuscinosis,Group of disorders,0,1,1,1.2766666666666666
217,Isolated Dandy-Walker malformation,Disorder,0,1,1,1.55
218,Darier disease,Disorder,1,1,1,2.302
219,Delta-sarcoglycan-related limb-girdle muscular dystrophy R6,Disorder,1,1,1,0.3
220,Denys-Drash syndrome,Disorder,1,1,1,150.0
221,Dermatomyositis,Disorder,0,1,1,4.251342857142857
222,Erosive pustular dermatosis of the scalp,Disorder,0,1,1,0.0
223,Arginine vasopressin resistance,Disorder,2,1,1,0.295
224,Neonatal diabetes mellitus,Group of disorders,0,1,1,0.788
225,NON RARE IN EUROPE: Maternally-inherited diabetes and deafness,Disorder,0,0,0,
226,Dihydropteridine reductase deficiency,Subtype of disorder,1,1,1,75.0
227,Diphallia,Disorder,0,1,1,0.01
229,Familial aortic dissection,Disorder,1,1,1,0.2
230,Dopamine beta-hydroxylase deficiency,Disorder,1,1,1,12.5
231,Dracunculiasis,Disorder,0,1,1,0.0
232,Sickle cell anemia,Disorder,1,1,1,110.96884999999999
233,Duane retraction syndrome,Disorder,3,1,1,10.0
234,Dubin-Johnson syndrome,Disorder,1,1,1,0.0
235,Dubowitz syndrome,Disorder,2,1,1,0.1
236,Trisomy 9p syndrome,Disorder,0,1,1,75.0
237,Duplication of urethra,Disorder,0,1,1,150.0
238,OBSOLETE: Digestive duplication,Disorder,0,0,0,
239,Dyggve-Melchior-Clausen disease,Disorder,1,1,1,50.0
240,Léri-Weill dyschondrosteosis,Disorder,1,1,1,0.0
241,Dyschromatosis universalis hereditaria,Disorder,1,1,1,
242,"46,XY complete gonadal dysgenesis",Disorder,10,1,1,0.0
243,"46,XX gonadal dysgenesis",Disorder,12,1,1,0.0
244,Primary ciliary dyskinesia,Disorder,53,1,1,24.5
245,Nager syndrome,Disorder,1,1,1,33.43333333333333
246,Postaxial acrofacial dysostosis,Disorder,1,1,1,15.0
247,Inherited arrhythmogenic cardiomyopathy,Group of disorders,0,1,1,31.75
248,Autosomal recessive hypohidrotic ectodermal dysplasia,Subtype of disorder,4,1,1,0.0
249,Fibrous dysplasia of bone,Disorder,0,1,1,0.0
250,Frontonasal dysplasia,Group of disorders,0,1,1,0.35
251,Multiple epiphyseal dysplasia,Group of disorders,0,1,1,5.0
252,OBSOLETE: Spondyloepimetaphyseal dysplasia,Group of disorders,0,0,0,
253,Spondyloepiphyseal dysplasia and spondyloepimetaphyseal dysplasia,Group of disorders,0,1,1,0.0
254,Spondylometaphyseal dysplasia,Group of disorders,0,1,1,0.5
255,Dopa-responsive dystonia,Group of disorders,0,1,1,0.4
256,Early-onset generalized limb-onset dystonia,Disorder,3,1,1,6.46
257,Epidermolysis bullosa simplex with muscular dystrophy,Disorder,1,1,1,20.0
258,Laminin subunit alpha 2-related congenital muscular dystrophy,Disorder,1,1,1,0.65
